2024-08-28T15:48:27+08:00
Carpark Number,Total Lots,Lots Available,Address
A54,767,0,BLK 727/728 ANG MO KIO AVENUE 6
PL84,489,0,
GE3,355,0,BLK 124 TO 128 GEYLANG EAST AVENUE 1
B28,342,0,BLK 107/110 BEDOK NORTH ROAD
BJ18,324,0,BLK 401-408 FAJAR ROAD
PL47,214,0,BLK 207 PUNGGOL PLACE
WCC,190,0,900 SOUTH WOODLANDS DR
B54,170,0,BLK 630/632 BEDOK RESERVOIR ROAD
SE24,167,0,BLK 265 SERANGOON AVENUE 3
MP5,162,0,BLK 52/57 MARINE TERRACE
MP1,159,0,BLK 1 TO 4 MARINE TERRACE
B24,150,0,BLK 84/89 BEDOK NORTH AVENUE 4
B7A,129,0,BLK 216/218 BEDOK NORTH STREET 1
GE1C,128,0,BLK 119 ALJUNIED CRESCENT
EC7,127,0,BLK 842-848 SIMS AVENUE
CR1,124,0,BLK 1/3/15/17 BEACH ROAD
STM3,100,0,BLK 168-171 STIRLING ROAD
B63,99,0,BLK 739/745 BEDOK RESERVOIR ROAD
BM29,97,0,BLK 163 BUKIT MERAH CENTRAL
U6,95,0,BLK 150/158 BUKIT BATOK STREET 11
Q41,90,0,BLK 80 STRATHMORE AVENUE
B7,86,0,BLK 211/218 BEDOK NORTH STREET 1
A20,83,0,BLK 304/307/319 ANG MO KIO STREET 31
TB9,77,0,BLK 32/35 TELOK BLANGAH RISE
MP6,76,0,BLK 50/50A/53 MARINE TERRACE
JB1,70,0,BLK 3-5,7,8,4A JALAN BATU
AR9,64,0,BLK 20/22/23 DOVER CRESCENT
GE1B,64,0,BLK 114-117 ALJUNIED AVENUE 2
J46,63,0,BLK 501/504 JURONG WEST STREET 51
BR10,59,0,BLK 90 WHAMPOA DRIVE
BH1,57,0,BLK 1 THOMSON ROAD
HR4,57,0,BLK 10 TO 14 HAIG ROAD
CR29,56,0,BLK 29/30 KELANTAN LANE
CCKC,53,0,BLK 309 CHOA CHU KANG AVENUE 4
TP31,50,0,BLK 109/111 TO 115 LORONG 1 TOA PAYOH
TB23,50,0,DEPOT ROAD LORRY PARK
Q73,49,0,BLK 91/92 COMMONWEALTH DRIVE
BH2,47,0,BLK 2 BALESTIER ROAD
SK97,47,0,BLK 350 ANCHORVALE ROAD
GE1G,45,0,BLK 95 & 113 ALJUNIED CRESCENT
EC3,44,0,BLK 5-8/11/4A EUNOS CRESCENT
HG97,43,0,BLK 804 HOUGANG AVENUE 10
S120,43,0,
JKS,42,0,BLK 1 JALAN KUKOH CAR PARK
BJ15,37,0,BLK 259A BANGKIT ROAD
MR4,35,0,BLK 7 KING GEORGE AVENUE
TP30,31,0,BLK 116/122 LORONG 1 TOA PAYOH
U41,30,0,BLK 632/644 BUKIT BATOK CENTRAL
CY,28,0,BLK 269/269A/269B CHENG YAN COURT CAR PARK
J38,27,0,BLK 505/508 JURONG WEST STREET 52
W28,27,0,BLK 304/305 WOODLANDS STREET 31
BE38,26,0,BLK 283/284 BISHAN STREET 22
HE24,26,0,BLK 116 BUKIT MERAH VIEW
Y29,26,0,BLK 846 YISHUN RING ROAD
KAS,26,0,BLK 333 KRETA AYER CAR PARK
Q94,25,0,BLK 102 COMMONWEALTH CRESCENT
T77,24,0,BLK 472/484 TAMPINES STREET 43/44
BJ57,24,0,BLK 628 SENJA ROAD
GSML,22,0,BLK 2 GEYLANG SERAI
W26,20,0,BLK 301/302 WOODLANDS STREET 31
TP48,20,0,BLK 8 LORONG 7 TOA PAYOH
BL15,20,0,BLK 257A BOON LAY DRIVE
TM9,20,0,BLK 330A TAMPINES STREET 32
T12,20,0,BLK 156/160 TAMPINES STREET 12
TE3,19,0,BLK 108/110/112 JALAN BUKIT MERAH
Y49L,19,0,BLK 418/419 YISHUN AVENUE 11
NTL,19,0,BLK 601 - 605A/D TAMPINES AVENUE 9/ STREET 61
Y57,18,0,BLK 415/417 YISHUN RING ROAD/AVENUE 11
EPL,18,0,BLK 1/7 EVERTON PARK
TPL,18,0,BLK 5/7 TANJONG PAGAR
SK59,17,0,BLK 263 COMPASSVALE STREET
C27,16,0,BLK 108/109 CLEMENTI STREET 11
J56,15,0,BLK 130 JURONG GATEWAY ROAD
U28,15,0,BLK 374-376 BUKIT BATOK STREET 31
BJBL,13,0,BLK 533 - 534 BUKIT PANJANG RING ROAD
A30,12,0,BLK 129/134 ANG MO KIO STREET 12
RHS,12,0,BLK 75A/B REDHILL ROAD
S13L,11,0,351A-351D ANCHORVALE ROAD
SK44,10,0,BLK 308 ANCHORVALE ROAD
SK40,10,0,BLK 306 ANCHORVALE LINK
SK51,10,0,BLK 325 SENGKANG EAST WAY
W56L,10,0,
JS1L,10,0,BLK 692A JURONG WEST CENTRAL 3
T55,8,0,BLK 501/508 TAMPINES CENTRAL 1
P88L,8,0,
BE22,8,0,BLK 511/513 BISHAN STREET 13
Y79L,8,0,BLK 465A-465B, 466A-466B,467A-467C YISHUN AVENUE 6
NT6L,6,0,BLK 647 TAMPINES STREET 62
C40L,6,0,
ECML,6,0,
BM3,5,0,BLK 49/50 HOY FATT ROAD
Y69L,4,0,BLKS 513A, 513B, 513C YISHUN STREET 51
P5L,4,0,BLK 106A PUNGGOL FIELD
W27,4,0,BLK 303 WOODLANDS STREET 31
AR2L,4,0,BLK 26 AND 27 DOVER CRESCENT
AR1L,4,0,3 AND 5 DOVER ROAD
N12L,4,0,
S40L,4,0,BLK 115B AND 115C CANBERRA WALK
B65L,4,0,BLK 152A BEDOK SOUTH ROAD
SS1L,4,0,
GEML,3,0,BLK 118 ALJUNIED AVENUE 2
S24L,2,0,BLK 507A WELLINGTON CIRCLE
JCML,2,0,BLK 2 JOO CHIAT ROAD
MM7L,2,0,
A33,2,0,BLK 253/254 ANG MO KIO STREET 21
H3DL,2,0,BLK 998A TO 998B,999A TO 999B BUANGKOK CRESCENT
SE12,0,0,BLK 211-222 SERANGOON AVENUE 4
HE3,148,1,BLK 116/117 BUKIT MERAH VIEW
WCB,143,1,BLK 261/262/264 WATERLOO BASEMENT CAR PARK
HG55,89,1,BLK 814 HOUGANG AVENUE 10
C26,35,1,BLK 105-107 CLEMENTI STREET 12
TB28,18,1,BLK 45 TELOK BLANGAH DRIVE
BKE2,17,1,BLK 681/682 RACE COURSE ROAD
J57L,13,1,BLK 131 JURONG GATEWAY ROAD
Y83L,6,1,
Y68L,6,1,BLKS 504A, 504B, 504C, 504D YISHUN STREET 51
BL8L,6,1,BLK 221 BOON LAY PLACE
KAML,5,1,BLK 335 KRETA AYER (LUB)
P71L,5,1,
NT7L,4,1,BLK 646 TAMPINES STREET 62
DWST,4,1,BLK 89A DAWSON ROAD
Y77L,2,1,
K2T,73,2,BLK 21 JALAN EMPAT
JB2,58,2,BLK 10-11 JALAN BATU
CK6,40,2,BLK 143, 144 & 146 TECK WHYE LANE
M37,35,2,BLK 38 TO 40 CIRCUIT ROAD
Q80,31,2,BLK 45/46/47 HOLLAND DRIVE
J26,31,2,BLK 351/353 JURONG EAST STREET 31
SE22,20,2,BLK 261/263 SERANGOON CENTRAL
CR1B,20,2,BLK 3 BEACH ROAD
BKE3,17,2,BLK 682/683 RACE COURSE ROAD
CK4,10,2,BLK 135-138,141,142 & 145 TECK WHYE LANE/AVENUE
TH1L,8,2,
KM6L,5,2,
KJML,5,2,BLK 14A FARRER PARK ROAD
TGML,4,2,BLK 64 AND 65 TEBAN GARDENS ROAD
S36L,4,2,BLK 121A AND 121B CANBERRA STREET
MR5,105,3,BLK 804/805, 809 MAUDE ROAD
TB14,43,3,BLK 113/114 DEPOT ROAD
BKE9,38,3,BLK 668 CHANDER ROAD
S30L,24,3,SENGKANG EAST WAY
HE1,21,3,BLK 102/103/104 HENDERSON CRESCENT
M36,17,3,BLK 43 CIRCUIT ROAD
BJ23,16,3,BLK 258 BUKIT PANJANG RING ROAD
C21L,13,3,BLK 454 TO 460 CLEMENTI AVENUE 3
TJ39,7,3,138 YUAN CHING ROAD
S19L,4,3,BLK 501B WELLINGTON CIRCLE
B23L,4,3,
AR7L,4,3,12 TO 14 DOVER CLOSE EAST
CR7,183,4,BLK 464/463 CRAWFORD LANE
CR6,79,4,
TB1,58,4,BLK 1/2/3/4/6 TELOK BLANGAH CRESCENT
CC6,41,4,BLK 25-27 CHAI CHEE ROAD
J47,34,4,BLK 502/503 JURONG WEST AVENUE 1
C7,30,4,BLK 349-355 CLEMENTI AVENUE 2
TE4,30,4,BLK 132-138 JALAN BUKIT MERAH
Q70,30,4,BLK 99/102 COMMONWEALTH CRESCENT
CR1A,22,4,BLK 2 BEACH ROAD
Q19,20,4,BLK 151 MEI LING STREET
JS4L,12,4,BLK 337 TAH CHING ROAD
J60L,10,4,BLK 505 JURONG WEST STREET 52
H3BL,10,4,BLK 991A TO 991B,992A TO 992B BUANGKOK LINK
JS33,8,4,
S38L,8,4,BLK 128A, 128B, 129A AND 130A CANBERRA STREET/CANBERRA CRESCENT
P40L,6,4,BLK 740 TO 745 PASIR RIS STREET 71
S16L,6,4,
S39L,5,4,BLK 542A/542 SERANGOON NORTH AVENUE 4
P73L,4,4,BLK 229A & 229B SUMANG LANE
DSRL,4,4,BLK 38A MARGARET DRIVE
MP5M,159,5,BLK 47A MARINE CRESCENT
Q81,97,5,BLK 43 HOLLAND DRIVE
K2,95,5,BLK 9,10,12 PINE CLOSE
BM14,94,5,BLK 34-36 JALAN RUMAH TINGGI
T42,86,5,BLK 824/827 TAMPINES STREET 81
CK65,69,5,BLK 535,536 AND 537 CHOA CHU KANG STREET 51
BM30,46,5,BLK 164/165 BUKIT MERAH CENTRAL
J24,34,5,BLK 342/346 JURONG EAST STREET 31
T15,30,5,BLK 201A/201C TAMPINES STREET 21
SE21,29,5,BLK 262/263 SERANGOON CENTRAL
S28L,8,5,BLK 489 ADMIRALTY LINK
HG9T,147,6,BLK 206 HOUGANG STREET 21
Y21,77,6,BLK 290/292 YISHUN STREET 22
BM1,60,6,BLK 28 JALAN BUKIT MERAH
KB14,58,6,BLK 66/71 KALLANG BAHRU
SD2,29,6,BLK 45/50/51 SIMS DRIVE
P6L,6,6,BLK 109B PUNGGOL FIELD
A52,149,7,BLK 701/716 ANG MO KIO AVENUE 3/6
HE4,124,7,BLK 121/122 & 127 BUKIT MERAH VIEW
HG16,73,7,BLK 211-212 HOUGANG STREET 21
KB7,65,7,BLK 69 GEYLANG BAHRU
BE36,58,7,BLK 278-281 BISHAN STREET 24
BM28,51,7,BLK 117, 161 BUKIT MERAH CENTRAL
KB17,50,7,BLK 23 BENDEMEER ROAD
BM6,29,7,BLK 61 LENGKOK BAHRU
T47L,17,7,
BRBL,10,7,BLK 665 BUFFALO ROAD LOADING/UNLOADING BAYS
C3ML,10,7,BLK 419, 420 AND 420A CLEMENTI AVENUE 1
S14L,9,7,353A-353B,355A,356A-356B ANCHORVALE LANE
MP7,212,8,BLK 54/55/56/58/59 MARINE TERRACE
C20,176,8,BLK 449-451 CLEMENTI AVENUE 3
TP2,85,8,BLK 85/A/B/C LORONG 4 TOA PAYOH
T18,81,8,BLK 201E TAMPINES STREET 21
SLS,79,8,BLK 4 SAGO LANE CAR PARK
BM2,53,8,BLK 28 HOY FATT ROAD
BKE1,22,8,BLK 668 CHANDER ROAD
